support,itemsets
0.5119047619047619,frozenset({'Vapor Cricket'})
0.5119047619047619,frozenset({'Therma-FIT'})
0.5119047619047619,frozenset({'Rain Jacket'})
0.5,frozenset({'Backpack'})
0.5,frozenset({'Performance Socks'})
0.5,frozenset({'Bags'})
0.47619047619047616,frozenset({'Dri-FIT'})
0.4642857142857143,frozenset({'Compression Wear'})
0.5357142857142857,frozenset({'Hats'})
0.5119047619047619,frozenset({'Tech Fleece'})
0.5,frozenset({'Gym Sack'})
0.47619047619047616,frozenset({'Crew Socks'})
0.35714285714285715,frozenset({'Mercurial'})
0.2976190476190476,frozenset({'Air Force 1'})
0.2261904761904762,frozenset({'React Infinity'})
0.5119047619047619,frozenset({'Windrunner'})
0.21428571428571427,frozenset({'Air Max'})
0.2261904761904762,frozenset({'LeBron Series'})
0.2261904761904762,frozenset({'Phantom Vision'})
0.20238095238095238,frozenset({'Pegasus'})
0.19047619047619047,frozenset({'Air Jordan'})
0.17857142857142858,frozenset({'Air Zoom'})
0.19047619047619047,frozenset({'KD Series'})
0.16666666666666666,frozenset({'Blazer'})
0.25,"frozenset({'Vapor Cricket', 'Tech Fleece'})"
0.2619047619047619,"frozenset({'Vapor Cricket', 'Hats'})"
0.13095238095238096,"frozenset({'Vapor Cricket', 'Hats', 'Tech Fleece'})"
0.2619047619047619,"frozenset({'Vapor Cricket', 'Therma-FIT'})"
0.27380952380952384,"frozenset({'Therma-FIT', 'Tech Fleece'})"
0.25,"frozenset({'Therma-FIT', 'Hats'})"
0.13095238095238096,"frozenset({'Vapor Cricket', 'Therma-FIT', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Therma-FIT', 'Hats', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Therma-FIT', 'Hats'})"
0.25,"frozenset({'Rain Jacket', 'Therma-FIT'})"
0.23809523809523808,"frozenset({'Rain Jacket', 'Vapor Cricket'})"
0.27380952380952384,"frozenset({'Rain Jacket', 'Tech Fleece'})"
0.25,"frozenset({'Rain Jacket', 'Hats'})"
0.23809523809523808,"frozenset({'Rain Jacket', 'Windrunner'})"
0.14285714285714285,"frozenset({'Rain Jacket', 'Therma-FIT', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Rain Jacket', 'Therma-FIT', 'Hats'})"
0.13095238095238096,"frozenset({'Rain Jacket', 'Therma-FIT', 'Vapor Cricket'})"
0.14285714285714285,"frozenset({'Rain Jacket', 'Windrunner', 'Vapor Cricket'})"
0.13095238095238096,"frozenset({'Rain Jacket', 'Hats', 'Vapor Cricket'})"
0.13095238095238096,"frozenset({'Rain Jacket', 'Tech Fleece', 'Vapor Cricket'})"
0.11904761904761904,"frozenset({'Rain Jacket', 'Hats', 'Tech Fleece'})"
0.14285714285714285,"frozenset({'Rain Jacket', 'Windrunner', 'Hats'})"
0.10714285714285714,"frozenset({'Rain Jacket', 'Windrunner', 'Tech Fleece'})"
0.32142857142857145,"frozenset({'Therma-FIT', 'Backpack'})"
0.30952380952380953,"frozenset({'Rain Jacket', 'Backpack'})"
0.23809523809523808,"frozenset({'Vapor Cricket', 'Backpack'})"
0.2857142857142857,"frozenset({'Backpack', 'Tech Fleece'})"
0.2619047619047619,"frozenset({'Backpack', 'Gym Sack'})"
0.2619047619047619,"frozenset({'Backpack', 'Hats'})"
0.2261904761904762,"frozenset({'Windrunner', 'Backpack'})"
0.17857142857142858,"frozenset({'Rain Jacket', 'Therma-FIT', 'Backpack'})"
0.17857142857142858,"frozenset({'Vapor Cricket', 'Therma-FIT', 'Backpack'})"
0.14285714285714285,"frozenset({'Rain Jacket', 'Backpack', 'Vapor Cricket'})"
0.14285714285714285,"frozenset({'Vapor Cricket', 'Backpack', 'Tech Fleece'})"
0.13095238095238096,"frozenset({'Vapor Cricket', 'Backpack', 'Gym Sack'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Backpack', 'Hats'})"
0.10714285714285714,"frozenset({'Rain Jacket', 'Therma-FIT', 'Backpack', 'Vapor Cricket'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Therma-FIT', 'Backpack', 'Tech Fleece'})"
0.19047619047619047,"frozenset({'Therma-FIT', 'Backpack', 'Tech Fleece'})"
0.17857142857142858,"frozenset({'Rain Jacket', 'Backpack', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Rain Jacket', 'Therma-FIT', 'Backpack', 'Tech Fleece'})"
0.15476190476190477,"frozenset({'Backpack', 'Tech Fleece', 'Gym Sack'})"
0.14285714285714285,"frozenset({'Therma-FIT', 'Backpack', 'Gym Sack'})"
0.13095238095238096,"frozenset({'Rain Jacket', 'Backpack', 'Gym Sack'})"
0.10714285714285714,"frozenset({'Therma-FIT', 'Backpack', 'Tech Fleece', 'Gym Sack'})"
0.15476190476190477,"frozenset({'Backpack', 'Hats', 'Gym Sack'})"
0.15476190476190477,"frozenset({'Therma-FIT', 'Backpack', 'Hats'})"
0.13095238095238096,"frozenset({'Backpack', 'Hats', 'Tech Fleece'})"
0.13095238095238096,"frozenset({'Rain Jacket', 'Backpack', 'Hats'})"
0.14285714285714285,"frozenset({'Windrunner', 'Backpack', 'Therma-FIT'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Windrunner', 'Backpack'})"
0.13095238095238096,"frozenset({'Windrunner', 'Backpack', 'Hats'})"
0.10714285714285714,"frozenset({'Rain Jacket', 'Windrunner', 'Backpack'})"
0.2619047619047619,"frozenset({'Rain Jacket', 'Performance Socks'})"
0.23809523809523808,"frozenset({'Therma-FIT', 'Performance Socks'})"
0.23809523809523808,"frozenset({'Vapor Cricket', 'Performance Socks'})"
0.20238095238095238,"frozenset({'Performance Socks', 'Backpack'})"
0.27380952380952384,"frozenset({'Performance Socks', 'Hats'})"
0.25,"frozenset({'Performance Socks', 'Tech Fleece'})"
0.2261904761904762,"frozenset({'Performance Socks', 'Gym Sack'})"
0.25,"frozenset({'Windrunner', 'Performance Socks'})"
0.13095238095238096,"frozenset({'Rain Jacket', 'Performance Socks', 'Hats'})"
0.11904761904761904,"frozenset({'Rain Jacket', 'Therma-FIT', 'Performance Socks'})"
0.14285714285714285,"frozenset({'Therma-FIT', 'Performance Socks', 'Hats'})"
0.10714285714285714,"frozenset({'Therma-FIT', 'Performance Socks', 'Tech Fleece'})"
0.11904761904761904,"frozenset({'Rain Jacket', 'Performance Socks', 'Vapor Cricket'})"
0.13095238095238096,"frozenset({'Vapor Cricket', 'Windrunner', 'Performance Socks'})"
0.13095238095238096,"frozenset({'Vapor Cricket', 'Performance Socks', 'Hats'})"
0.13095238095238096,"frozenset({'Vapor Cricket', 'Performance Socks', 'Tech Fleece'})"
0.14285714285714285,"frozenset({'Rain Jacket', 'Backpack', 'Performance Socks'})"
0.11904761904761904,"frozenset({'Performance Socks', 'Therma-FIT', 'Backpack'})"
0.13095238095238096,"frozenset({'Performance Socks', 'Backpack', 'Hats'})"
0.11904761904761904,"frozenset({'Performance Socks', 'Backpack', 'Gym Sack'})"
0.10714285714285714,"frozenset({'Performance Socks', 'Backpack', 'Tech Fleece'})"
0.14285714285714285,"frozenset({'Performance Socks', 'Hats', 'Tech Fleece'})"
0.11904761904761904,"frozenset({'Rain Jacket', 'Performance Socks', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Windrunner', 'Performance Socks', 'Tech Fleece'})"
0.13095238095238096,"frozenset({'Performance Socks', 'Hats', 'Gym Sack'})"
0.11904761904761904,"frozenset({'Performance Socks', 'Tech Fleece', 'Gym Sack'})"
0.10714285714285714,"frozenset({'Windrunner', 'Performance Socks', 'Gym Sack'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Performance Socks', 'Gym Sack'})"
0.11904761904761904,"frozenset({'Rain Jacket', 'Windrunner', 'Performance Socks'})"
0.11904761904761904,"frozenset({'Windrunner', 'Performance Socks', 'Hats'})"
0.2976190476190476,"frozenset({'Bags', 'Therma-FIT'})"
0.2857142857142857,"frozenset({'Bags', 'Vapor Cricket'})"
0.2619047619047619,"frozenset({'Bags', 'Performance Socks'})"
0.23809523809523808,"frozenset({'Bags', 'Backpack'})"
0.2261904761904762,"frozenset({'Bags', 'Rain Jacket'})"
0.27380952380952384,"frozenset({'Bags', 'Gym Sack'})"
0.23809523809523808,"frozenset({'Bags', 'Windrunner'})"
0.23809523809523808,"frozenset({'Bags', 'Tech Fleece'})"
0.2857142857142857,"frozenset({'Bags', 'Hats'})"
0.17857142857142858,"frozenset({'Bags', 'Vapor Cricket', 'Therma-FIT'})"
0.16666666666666666,"frozenset({'Bags', 'Vapor Cricket', 'Hats'})"
0.16666666666666666,"frozenset({'Bags', 'Vapor Cricket', 'Performance Socks'})"
0.14285714285714285,"frozenset({'Bags', 'Therma-FIT', 'Performance Socks'})"
0.16666666666666666,"frozenset({'Bags', 'Performance Socks', 'Hats'})"
0.14285714285714285,"frozenset({'Bags', 'Performance Socks', 'Gym Sack'})"
0.10714285714285714,"frozenset({'Bags', 'Vapor Cricket', 'Performance Socks', 'Hats'})"
0.15476190476190477,"frozenset({'Bags', 'Therma-FIT', 'Backpack'})"
0.11904761904761904,"frozenset({'Bags', 'Vapor Cricket', 'Backpack'})"
0.14285714285714285,"frozenset({'Bags', 'Backpack', 'Gym Sack'})"
0.11904761904761904,"frozenset({'Bags', 'Backpack', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Bags', 'Windrunner', 'Backpack'})"
0.11904761904761904,"frozenset({'Bags', 'Backpack', 'Hats'})"
0.10714285714285714,"frozenset({'Bags', 'Therma-FIT', 'Backpack', 'Tech Fleece'})"
0.13095238095238096,"frozenset({'Bags', 'Rain Jacket', 'Backpack'})"
0.13095238095238096,"frozenset({'Bags', 'Rain Jacket', 'Therma-FIT'})"
0.11904761904761904,"frozenset({'Bags', 'Rain Jacket', 'Vapor Cricket'})"
0.10714285714285714,"frozenset({'Bags', 'Rain Jacket', 'Performance Socks'})"
0.11904761904761904,"frozenset({'Bags', 'Rain Jacket', 'Hats'})"
0.11904761904761904,"frozenset({'Bags', 'Rain Jacket', 'Tech Fleece'})"
0.15476190476190477,"frozenset({'Bags', 'Vapor Cricket', 'Gym Sack'})"
0.13095238095238096,"frozenset({'Bags', 'Therma-FIT', 'Gym Sack'})"
0.14285714285714285,"frozenset({'Bags', 'Hats', 'Gym Sack'})"
0.15476190476190477,"frozenset({'Bags', 'Windrunner', 'Gym Sack'})"
0.14285714285714285,"frozenset({'Bags', 'Vapor Cricket', 'Windrunner'})"
0.13095238095238096,"frozenset({'Bags', 'Windrunner', 'Therma-FIT'})"
0.14285714285714285,"frozenset({'Bags', 'Windrunner', 'Hats'})"
0.13095238095238096,"frozenset({'Bags', 'Windrunner', 'Performance Socks'})"
0.16666666666666666,"frozenset({'Bags', 'Therma-FIT', 'Tech Fleece'})"
0.13095238095238096,"frozenset({'Bags', 'Vapor Cricket', 'Tech Fleece'})"
0.11904761904761904,"frozenset({'Bags', 'Tech Fleece', 'Gym Sack'})"
0.10714285714285714,"frozenset({'Bags', 'Windrunner', 'Tech Fleece'})"
0.11904761904761904,"frozenset({'Bags', 'Performance Socks', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Bags', 'Hats', 'Tech Fleece'})"
0.13095238095238096,"frozenset({'Bags', 'Therma-FIT', 'Hats'})"
0.2619047619047619,"frozenset({'Backpack', 'Dri-FIT'})"
0.25,"frozenset({'Rain Jacket', 'Dri-FIT'})"
0.25,"frozenset({'Therma-FIT', 'Dri-FIT'})"
0.25,"frozenset({'Vapor Cricket', 'Dri-FIT'})"
0.2261904761904762,"frozenset({'Bags', 'Dri-FIT'})"
0.2261904761904762,"frozenset({'Performance Socks', 'Dri-FIT'})"
0.21428571428571427,"frozenset({'Windrunner', 'Dri-FIT'})"
0.20238095238095238,"frozenset({'Tech Fleece', 'Dri-FIT'})"
0.19047619047619047,"frozenset({'Dri-FIT', 'Gym Sack'})"
0.23809523809523808,"frozenset({'Hats', 'Dri-FIT'})"
0.15476190476190477,"frozenset({'Rain Jacket', 'Backpack', 'Dri-FIT'})"
0.15476190476190477,"frozenset({'Therma-FIT', 'Backpack', 'Dri-FIT'})"
0.11904761904761904,"frozenset({'Rain Jacket', 'Therma-FIT', 'Dri-FIT'})"
0.13095238095238096,"frozenset({'Vapor Cricket', 'Therma-FIT', 'Dri-FIT'})"
0.11904761904761904,"frozenset({'Rain Jacket', 'Vapor Cricket', 'Dri-FIT'})"
0.11904761904761904,"frozenset({'Vapor Cricket', 'Backpack', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Therma-FIT', 'Backpack', 'Dri-FIT'})"
0.13095238095238096,"frozenset({'Bags', 'Vapor Cricket', 'Dri-FIT'})"
0.13095238095238096,"frozenset({'Bags', 'Backpack', 'Dri-FIT'})"
0.11904761904761904,"frozenset({'Bags', 'Therma-FIT', 'Dri-FIT'})"
0.11904761904761904,"frozenset({'Bags', 'Rain Jacket', 'Dri-FIT'})"
0.15476190476190477,"frozenset({'Bags', 'Hats', 'Dri-FIT'})"
0.14285714285714285,"frozenset({'Rain Jacket', 'Performance Socks', 'Dri-FIT'})"
0.11904761904761904,"frozenset({'Vapor Cricket', 'Performance Socks', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Bags', 'Performance Socks', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Therma-FIT', 'Performance Socks', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Performance Socks', 'Hats', 'Dri-FIT'})"
0.11904761904761904,"frozenset({'Windrunner', 'Backpack', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Windrunner', 'Hats', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Rain Jacket', 'Windrunner', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Windrunner', 'Performance Socks', 'Dri-FIT'})"
0.13095238095238096,"frozenset({'Therma-FIT', 'Tech Fleece', 'Dri-FIT'})"
0.11904761904761904,"frozenset({'Backpack', 'Tech Fleece', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Tech Fleece', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Hats', 'Tech Fleece', 'Dri-FIT'})"
0.13095238095238096,"frozenset({'Backpack', 'Dri-FIT', 'Gym Sack'})"
0.11904761904761904,"frozenset({'Vapor Cricket', 'Dri-FIT', 'Gym Sack'})"
0.10714285714285714,"frozenset({'Bags', 'Dri-FIT', 'Gym Sack'})"
0.13095238095238096,"frozenset({'Therma-FIT', 'Hats', 'Dri-FIT'})"
0.13095238095238096,"frozenset({'Backpack', 'Hats', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Hats', 'Dri-FIT'})"
0.27380952380952384,"frozenset({'Vapor Cricket', 'Compression Wear'})"
0.23809523809523808,"frozenset({'Bags', 'Compression Wear'})"
0.2261904761904762,"frozenset({'Therma-FIT', 'Compression Wear'})"
0.21428571428571427,"frozenset({'Performance Socks', 'Compression Wear'})"
0.20238095238095238,"frozenset({'Compression Wear', 'Dri-FIT'})"
0.20238095238095238,"frozenset({'Backpack', 'Compression Wear'})"
0.20238095238095238,"frozenset({'Rain Jacket', 'Compression Wear'})"
0.2261904761904762,"frozenset({'Compression Wear', 'Tech Fleece'})"
0.21428571428571427,"frozenset({'Crew Socks', 'Compression Wear'})"
0.19047619047619047,"frozenset({'Windrunner', 'Compression Wear'})"
0.23809523809523808,"frozenset({'Compression Wear', 'Hats'})"
0.19047619047619047,"frozenset({'Compression Wear', 'Gym Sack'})"
0.15476190476190477,"frozenset({'Bags', 'Vapor Cricket', 'Compression Wear'})"
0.14285714285714285,"frozenset({'Bags', 'Compression Wear', 'Hats'})"
0.13095238095238096,"frozenset({'Bags', 'Therma-FIT', 'Compression Wear'})"
0.11904761904761904,"frozenset({'Vapor Cricket', 'Therma-FIT', 'Compression Wear'})"
0.11904761904761904,"frozenset({'Therma-FIT', 'Performance Socks', 'Compression Wear'})"
0.11904761904761904,"frozenset({'Vapor Cricket', 'Performance Socks', 'Compression Wear'})"
0.10714285714285714,"frozenset({'Bags', 'Performance Socks', 'Compression Wear'})"
0.13095238095238096,"frozenset({'Compression Wear', 'Performance Socks', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Crew Socks', 'Performance Socks', 'Compression Wear'})"
0.11904761904761904,"frozenset({'Performance Socks', 'Hats', 'Compression Wear'})"
0.11904761904761904,"frozenset({'Vapor Cricket', 'Compression Wear', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Therma-FIT', 'Compression Wear', 'Dri-FIT'})"
0.13095238095238096,"frozenset({'Therma-FIT', 'Backpack', 'Compression Wear'})"
0.10714285714285714,"frozenset({'Bags', 'Backpack', 'Compression Wear'})"
0.10714285714285714,"frozenset({'Vapor Cricket', 'Backpack', 'Compression Wear'})"
0.14285714285714285,"frozenset({'Rain Jacket', 'Backpack', 'Compression Wear'})"
0.10714285714285714,"frozenset({'Rain Jacket', 'Compression Wear', 'Dri-FIT'})"
0.10714285714285714,"frozenset({'Rain Jacket', 'Compression Wear', 'Vapor Cricket'})"
0.11904761904761904,"frozenset({'Rain Jacket', 'Compression Wear', 'Tech Fleece'})"
0.13095238095238096,"frozenset({'Vapor Cricket', 'Compression Wear', 'Tech Fleece'})"
0.11904761904761904,"frozenset({'Compression Wear', 'Hats', 'Tech Fleece'})"
0.10714285714285714,"frozenset({'Bags', 'Compression Wear', 'Tech Fleece'})"
0.13095238095238096,"frozenset({'Crew Socks', 'Compression Wear', 'Tech Fleece'})"
